,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.256887602737581,-0.017377714132589983,0.025597459534248048,0.07832170588484651,0.017277712386333348,0.04284726400505473,0.14844659580975916,-0.003200251183946976,0.006300946778849839,0.02382310614460245,0.030037545688124653,0.09723847642304971,-0.0662238823198242,-0.029221247533220134,0.021238655117988423,0.03721131822788942,0.13076926097486735,-0.04105077869287133,-0.01720737096168722
Agreeableness_score,0.256887602737581,1.0,0.07630854209778129,0.029859511124876975,0.10739831230760595,0.8655673446529125,0.7406335990526745,0.5237458805993579,0.3297200343420024,0.32534127870521584,0.9111649288634651,0.9128324577777412,0.8737704965212711,0.519986497318513,0.5152601974223013,0.9053023901313824,0.8771561477264264,0.8012660270542529,0.463537685000131,0.4869685201352806
Conscientiousness_score,-0.017377714132589983,0.07630854209778129,1.0,0.0337315422745627,0.06107307768436344,0.31266837881522036,0.5434875360349745,0.6723414776986236,0.7296984073003548,0.6591189538053882,0.23016852421589962,0.1985937791054762,0.26917057007662687,0.5082114660599326,0.42727847754657544,0.27138614588630167,0.36358603100120906,0.48260540734153506,0.6419327923381215,0.5675526101234941
Neuroticism_score,0.025597459534248048,0.029859511124876975,0.0337315422745627,1.0,0.015983717929190577,-0.1346829084569307,-0.06543244764912734,-0.27694089039038455,-0.33152524528863503,-0.5141634461349736,-0.033680588238496574,-0.05436230765768379,0.046417960858900605,-0.0376947057744972,-0.17208882981277557,-0.08009974449010088,-0.0618726551972079,-0.09804941359940404,-0.17621711426935802,-0.33317694862460023
Openness_score,0.07832170588484651,0.10739831230760595,0.06107307768436344,0.015983717929190577,1.0,0.2118655533457167,0.2096300156910809,-0.013160759861680872,-0.2254772223447437,-0.0730637030846631,0.05708560142804831,0.20031756711801796,-0.11132299940575119,-0.5052665205871654,-0.5133826817460342,0.1283093111453515,0.21376931158633186,-0.07737006653735479,-0.40641578303640336,-0.3795959821411967
Harm_Care_pt1_score,0.017277712386333348,0.8655673446529125,0.31266837881522036,-0.1346829084569307,0.2118655533457167,1.0,0.9044456096603182,0.7129317906713928,0.5335387231406377,0.5590499964467449,0.9356600771494437,0.9289283615887315,0.849137415888812,0.5779085166404836,0.5668731271293609,0.9801249675497796,0.9607349288948597,0.8727783471484255,0.5926352257602172,0.6203294738877393
Fairness_Reciprocity_pt1_score,0.04284726400505473,0.7406335990526745,0.5434875360349745,-0.06543244764912734,0.2096300156910809,0.9044456096603182,1.0,0.8212853293315712,0.6455885146851209,0.643682616188025,0.8491703000876857,0.8241793144038536,0.780478844854007,0.6081843964830731,0.5897585753564237,0.8881092935818319,0.9416516537399547,0.8787987720903057,0.6626707207607244,0.6714739535175409
In-group_Loyalty_pt1_score,0.14844659580975916,0.5237458805993579,0.6723414776986236,-0.27694089039038455,-0.013160759861680872,0.7129317906713928,0.8212853293315712,1.0,0.8430123538486052,0.8057522621959384,0.6480773364066584,0.5866198070778311,0.6377786721459451,0.6778467620808707,0.6748109815010815,0.6880902912213481,0.7197161199647587,0.8698626339161339,0.7958181702175848,0.7974304757379134
Authority_Respect_pt1_score,-0.003200251183946976,0.3297200343420024,0.7296984073003548,-0.33152524528863503,-0.2254772223447437,0.5335387231406377,0.6455885146851209,0.8430123538486052,1.0,0.8336753385686873,0.4887689809469751,0.3998336297931594,0.5281213711930004,0.7727659772214517,0.7577714555005632,0.5170648005383495,0.5293204520773142,0.7271988575269293,0.9253097032667805,0.8655493754168639
Purity_Sanctity_pt1_score,0.006300946778849839,0.32534127870521584,0.6591189538053882,-0.5141634461349736,-0.0730637030846631,0.5590499964467449,0.643682616188025,0.8057522621959384,0.8336753385686873,1.0,0.47800735595883403,0.43732181813844784,0.4623302474461597,0.6216439352743315,0.6321934229679715,0.5226012410576371,0.5507398782882731,0.6678708545814712,0.7579097150605204,0.8501616770358119
