,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.5864055682784955,-0.2598021861048973,-0.6641232664380038,-0.5143116183535906,0.39013638271079965,0.3808624524304399,0.08904637854366157,-0.24826788406102163,-0.4500641754523214,0.24139553835707253,0.35242511125690906,0.05672538042743334,-0.29899574892597003,-0.5618544758739332,0.3380779720427416,0.38832442299800435,0.07602159865607531,-0.2841752141860473,-0.5035476164810178
Agreeableness_score,0.5864055682784955,1.0,0.10165421044379161,-0.5859443482982333,-0.177481154706895,0.8448091384698384,0.529989505516967,-0.08471866375114333,0.12777942993007826,0.06438572109797609,0.8115193005686238,0.2999831053139946,-0.03951265418466154,-0.0626264786872856,4.055522614598207e-05,0.856133608870956,0.45121850735890323,-0.06502900836802261,0.019964203902440664,0.0378713557837303
Conscientiousness_score,-0.2598021861048973,0.10165421044379161,1.0,0.4566704011405624,0.22474672599505552,0.04629562752272163,0.05880050441988157,0.283727275490807,0.8913359693765058,0.25644719697686125,0.11647115585835553,-0.06170324764718425,0.3318373833643912,0.819769162221811,0.36184748549881235,0.07784378766909802,0.005592327396417159,0.31850498130993615,0.8722695685271873,0.30465696558874755
Neuroticism_score,-0.6641232664380038,-0.5859443482982333,0.4566704011405624,1.0,0.6181375194794618,-0.390857446230044,-0.253744206454338,0.14361631364703487,0.36023733118685974,0.4369844602334287,-0.2994183326604126,-0.29439695707186087,0.09247082667209916,0.3428718627911873,0.5263128440076377,-0.36343491058782584,-0.2866176739516367,0.12310569597425242,0.3592738417085987,0.48074272774242205
Openness_score,-0.5143116183535906,-0.177481154706895,0.22474672599505552,0.6181375194794618,1.0,0.22474258947910639,0.16564595351597133,-0.09586487841810391,0.13183300832826617,0.8639157509829826,0.21473912845454363,-0.05148376112403258,-0.23025245523488572,-0.07840362239158986,0.8388576065861147,0.22726232636845545,0.07302910623341176,-0.1672534074046758,0.01255337820672915,0.8646646888506817
Harm_Care_pt1_score,0.39013638271079965,0.8448091384698384,0.04629562752272163,-0.390857446230044,0.22474258947910639,1.0,0.67534053431623,-0.14913345209542903,0.02821099784757499,0.4490615085403968,0.8806843603918482,0.3547219390049701,-0.2048513228052802,-0.24489380587256426,0.32932728320623983,0.9790791568155792,0.5620767087993214,-0.18277574820472817,-0.13037714508057158,0.40407010297575996
Fairness_Reciprocity_pt1_score,0.3808624524304399,0.529989505516967,0.05880050441988157,-0.253744206454338,0.16564595351597133,0.67534053431623,1.0,-0.08232909266853404,-0.06176257915282492,0.32938602442978987,0.4856461819444454,0.7958798668283575,-0.3170586585974132,-0.28662558898748625,0.1911281218627262,0.6143411200032906,0.958986242273814,-0.20387387291339007,-0.19449991799126512,0.2749369874726521
In-group_Loyalty_pt1_score,0.08904637854366157,-0.08471866375114333,0.283727275490807,0.14361631364703487,-0.09586487841810391,-0.14913345209542903,-0.08232909266853404,1.0,0.2027521547809257,-0.013525227116752709,-0.14078450549518573,-0.11745006227967127,0.8598324019753115,0.22991343108436466,0.024868534974631477,-0.1500705646723112,-0.10326239889375184,0.9662090886223587,0.22375463287322486,0.002624120775440133
Authority_Respect_pt1_score,-0.24826788406102163,0.12777942993007826,0.8913359693765058,0.36023733118685974,0.13183300832826617,0.02821099784757499,-0.06176257915282492,0.2027521547809257,1.0,0.18271543535390067,0.16490242140369357,-0.16339716173908755,0.32266293403991864,0.9000850366052162,0.3126008072571385,0.08778258387300787,-0.11271336374735291,0.27078397891193606,0.9671626078902192,0.24036468205694758
Purity_Sanctity_pt1_score,-0.4500641754523214,0.06438572109797609,0.25644719697686125,0.4369844602334287,0.8639157509829826,0.4490615085403968,0.32938602442978987,-0.013525227116752709,0.18271543535390067,1.0,0.4651154400245548,0.05429528551821852,-0.1564487819672762,-0.06476891027829525,0.9468493550241707,0.4695781002988401,0.21856557208151672,-0.086178854270556,0.043003352888302544,0.9905985018221736
Harm_Care_pt2_score,0.24139553835707253,0.8115193005686238,0.11647115585835553,-0.2994183326604126,0.21473912845454363,0.8806843603918482,0.4856461819444454,-0.14078450549518573,0.16490242140369357,0.4651154400245548,1.0,0.19945527066177896,-0.10419329578011635,-0.09077213086896473,0.4038489051201799,0.9586487771752136,0.3781527183365706,-0.1275167788577351,0.019959631533023842,0.4452008320361667
Fairness_Reciprocity_pt2_score,0.35242511125690906,0.2999831053139946,-0.06170324764718425,-0.29439695707186087,-0.05148376112403258,0.3547219390049701,0.7958798668283575,-0.11745006227967127,-0.16339716173908755,0.05429528551821852,0.19945527066177896,1.0,-0.35138173766560477,-0.2552675927096247,-0.06161459597150372,0.2987861898378564,0.9348555265397636,-0.23989050487740746,-0.2211440536751707,0.005718516678789013
In-group_Loyalty_pt2_score,0.05672538042743334,-0.03951265418466154,0.3318373833643912,0.09247082667209916,-0.23025245523488572,-0.2048513228052802,-0.3170586585974132,0.8598324019753115,0.32266293403991864,-0.1564487819672762,-0.10419329578011635,-0.35138173766560477,1.0,0.3884664943120971,-0.07682395202901773,-0.1678269907543544,-0.3504224810710135,0.9623838309441194,0.369257074412327,-0.12465178641093067
Authority_Respect_pt2_score,-0.29899574892597003,-0.0626264786872856,0.819769162221811,0.3428718627911873,-0.07840362239158986,-0.24489380587256426,-0.28662558898748625,0.22991343108436466,0.9000850366052162,-0.06476891027829525,-0.09077213086896473,-0.2552675927096247,0.3884664943120971,1.0,0.10320950121065856,-0.18611866108656885,-0.28757976576790034,0.31845762949432627,0.9812690315207766,0.005813032053038655
Purity_Sanctity_pt2_score,-0.5618544758739332,4.055522614598207e-05,0.36184748549881235,0.5263128440076377,0.8388576065861147,0.32932728320623983,0.1911281218627262,0.024868534974631477,0.3126008072571385,0.9468493550241707,0.4038489051201799,-0.06161459597150372,-0.07682395202901773,0.10320950121065856,1.0,0.3713270251747442,0.08322851896357301,-0.025550515091717883,0.19841380287173366,0.9819534429444278
Harm_Care_total_score,0.3380779720427416,0.856133608870956,0.07784378766909802,-0.36343491058782584,0.22726232636845545,0.9790791568155792,0.6143411200032906,-0.1500705646723112,0.08778258387300787,0.4695781002988401,0.9586487771752136,0.2987861898378564,-0.1678269907543544,-0.18611866108656885,0.3713270251747442,1.0,0.500120520666815,-0.16458303710559424,-0.06975436893005094,0.4339938060183845
Fairness_Reciprocity_total_score,0.38832442299800435,0.45121850735890323,0.005592327396417159,-0.2866176739516367,0.07302910623341176,0.5620767087993214,0.958986242273814,-0.10326239889375184,-0.11271336374735291,0.21856557208151672,0.3781527183365706,0.9348555265397636,-0.3504224810710135,-0.28757976576790034,0.08322851896357301,0.500120520666815,1.0,-0.23185653826421107,-0.2175833771545053,0.16389563177285613
In-group_Loyalty_total_score,0.07602159865607531,-0.06502900836802261,0.31850498130993615,0.12310569597425242,-0.1672534074046758,-0.18277574820472817,-0.20387387291339007,0.9662090886223587,0.27078397891193606,-0.086178854270556,-0.1275167788577351,-0.23989050487740746,0.9623838309441194,0.31845762949432627,-0.025550515091717883,-0.16458303710559424,-0.23185653826421107,1.0,0.3054826514237553,-0.06153287882331465
Authority_Respect_total_score,-0.2841752141860473,0.019964203902440664,0.8722695685271873,0.3592738417085987,0.01255337820672915,-0.13037714508057158,-0.19449991799126512,0.22375463287322486,0.9671626078902192,0.043003352888302544,0.019959631533023842,-0.2211440536751707,0.369257074412327,0.9812690315207766,0.19841380287173366,-0.06975436893005094,-0.2175833771545053,0.3054826514237553,1.0,0.10966327966276923
Purity_Sanctity_total_score,-0.5035476164810178,0.0378713557837303,0.30465696558874755,0.48074272774242205,0.8646646888506817,0.40407010297575996,0.2749369874726521,0.002624120775440133,0.24036468205694758,0.9905985018221736,0.4452008320361667,0.005718516678789013,-0.12465178641093067,0.005813032053038655,0.9819534429444278,0.4339938060183845,0.16389563177285613,-0.06153287882331465,0.10966327966276923,1.0
