,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.4009827473314961,-0.07887976598214295,0.033809840511533844,0.19413552506516418,0.04380339925983666,0.052003758411283914,0.1298371342974284,-0.0890956776877608,-0.04984987796287637,0.13079709220273164,0.20844274593083376,0.2874693289084863,0.05545821940370281,-0.1325454792345087,0.08731718803636435,0.13220758802958932,0.27653742392432373,-0.017218772072767397,-0.09348028368819254
Agreeableness_score,0.4009827473314961,1.0,0.1948479810782777,0.11749575421935196,0.307732334189996,0.77329502081953,0.6251906360706644,0.2124539480486078,-0.02893678388951387,0.3260680381821827,0.8579010699348276,0.8248598471482159,0.834307366907974,0.28357762742076326,0.3882285080161536,0.8446610791308481,0.7758684507354838,0.7159687593657196,0.1646286112611445,0.38877138302294456
Conscientiousness_score,-0.07887976598214295,0.1948479810782777,1.0,0.19164940731978936,-0.04713018275543854,0.4858587412684385,0.6480271716331167,0.6903135817861327,0.7374614978844637,0.753420268227917,0.3643691167591379,0.3024514634895092,0.3148124507272851,0.5045914968077871,0.6321308042293465,0.44683588191424356,0.5368101349050441,0.5916728896741553,0.7601853532087176,0.7750815238655641
Neuroticism_score,0.033809840511533844,0.11749575421935196,0.19164940731978936,1.0,0.10844798824984293,-0.10176542991577399,-0.0779430880648117,-0.21856019052243594,-0.182874642501128,-0.28957157447923343,0.15749758389908158,0.20157158398658273,0.2009029295400381,0.29972418296934283,0.03740862078290199,0.018681756155727057,0.05058862292752345,0.030279639602489257,0.08380985739301926,-0.16749059419035864
Openness_score,0.19413552506516418,0.307732334189996,-0.04713018275543854,0.10844798824984293,1.0,0.22838775855505752,0.3067341846058423,0.028468853107196466,-0.23763760293732744,-0.07596762113021223,0.27116988934342806,0.3872181634941356,0.0574426378938789,-0.4208087958731196,0.1269627502739083,0.2580096995603143,0.372201729272148,0.056588508807113996,-0.4104666007708961,0.010549476346744385
Harm_Care_pt1_score,0.04380339925983666,0.77329502081953,0.4858587412684385,-0.10176542991577399,0.22838775855505752,1.0,0.9128248248449041,0.5644784303416835,0.3613938122051429,0.724641825305593,0.8491147847171764,0.7733840998310298,0.7370273350609814,0.29530037295610434,0.627415939029854,0.9673001584969436,0.9242581575082311,0.8310376908560827,0.4033123301428551,0.7545135347090748
Fairness_Reciprocity_pt1_score,0.052003758411283914,0.6251906360706644,0.6480271716331167,-0.0779430880648117,0.3067341846058423,0.9128248248449041,1.0,0.6850941630206339,0.47969096240149456,0.7980735622946505,0.7260471645244442,0.690690607624111,0.5925079369522425,0.2203821546808023,0.6692021445891242,0.8594248077983875,0.9367624967454123,0.7899670498074729,0.4253520358268063,0.8208356245901822
In-group_Loyalty_pt1_score,0.1298371342974284,0.2124539480486078,0.6903135817861327,-0.21856019052243594,0.028468853107196466,0.5644784303416835,0.6850941630206339,1.0,0.8375143878941189,0.8480144748563339,0.3051265558416531,0.2556101359693144,0.2597557552782616,0.2052689874447172,0.5022206535200261,0.46238235147534623,0.5364745284834815,0.7150006561839578,0.6275825316274888,0.775054133014635
Authority_Respect_pt1_score,-0.0890956776877608,-0.02893678388951387,0.7374614978844637,-0.182874642501128,-0.23763760293732744,0.3613938122051429,0.47969096240149456,0.8375143878941189,1.0,0.7919714307208565,0.14805023113344523,0.058158222593042666,0.1453518757840219,0.31400762714078234,0.4532604322702429,0.2733169104815096,0.3171618977541886,0.5465543146795482,0.7935118970597914,0.7164977993438324
Purity_Sanctity_pt1_score,-0.04984987796287637,0.3260680381821827,0.753420268227917,-0.28957157447923343,-0.07596762113021223,0.724641825305593,0.7980735622946505,0.8480144748563339,0.7919714307208565,1.0,0.4711009373414606,0.38821282429106047,0.39673345801323506,0.34872597220251783,0.632980537729512,0.6317028765845345,0.6687177837971386,0.7340811747372907,0.6925624655166719,0.9329171815041338
