,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.2980676603204742,-0.24011327126866425,0.032938339559958556,0.1246653955185016,0.020165134991595418,-0.04020708716008886,0.0615835244315558,-0.11626577128871131,-0.018794412665401477,0.004585948263006785,0.1530856684467406,-0.005523041104104395,0.06123938850212437,-0.006867510369927214,0.010787178058901493,0.14192694319286403,0.03651889347747474,-0.06783447309166929,-0.018735241410559184
Agreeableness_score,0.2980676603204742,1.0,0.2033418665056894,0.0830844885917302,0.4708173349162319,0.7076397700877278,-0.20351163215170798,-0.003528612935397517,-0.1696391256233929,0.04320279171291007,0.7128727618945386,0.7953657732772059,0.6566307524314005,0.5743161391383634,0.5338183307987159,0.749052092959696,0.7385851407399422,0.4609833756983012,0.10191983202733393,0.31102868923763
Conscientiousness_score,-0.24011327126866425,0.2033418665056894,1.0,0.24232129577222145,0.12293491153981438,0.4585427999263415,0.3430015086920564,0.6225620344871583,0.6681908204138433,0.5894749557675972,0.3043255889726389,0.3408125066440328,0.4125656613855313,0.447037850117879,0.4335374738334091,0.3795787680562623,0.41193560548815183,0.6996665539858223,0.7208287877769043,0.7004573650057248
Neuroticism_score,0.032938339559958556,0.0830844885917302,0.24232129577222145,1.0,0.11018863338316587,0.09014212157866969,0.18834596605284634,-0.028746085738330162,-0.04535328406881711,-0.3215513056155174,0.1797732959050662,0.18552571514504257,0.30737044379102796,0.22071035324362798,0.25515049391628397,0.15513729639247742,0.22460385813650177,0.1980060735572171,0.05507172120157297,-0.12778075553397672
Openness_score,0.1246653955185016,0.4708173349162319,0.12293491153981438,0.11018863338316587,1.0,0.4654448121299909,0.28270177075309016,0.2806631438718767,0.06394353910832143,0.17203812711693994,0.37061259377428435,0.5352191085483471,0.2251626670936479,0.28754275239958427,0.23672918730966763,0.4267142337480518,0.5901213699361286,0.34306055335344554,0.17037293076890975,0.26143208251408634
Harm_Care_pt1_score,0.020165134991595418,0.7076397700877278,0.4585427999263415,0.09014212157866969,0.4654448121299909,1.0,-0.0015147055223625908,0.2800069205243885,0.07954002778875353,0.28610844686802167,0.7857037379470255,0.6593518483626203,0.6117579710754164,0.45538631890614184,0.352431568321343,0.9097054482873355,0.6493781148035309,0.6154000323179918,0.25240422319794203,0.4134319886447043
Fairness_Reciprocity_pt1_score,-0.04020708716008886,-0.20351163215170798,0.3430015086920564,0.18834596605284634,0.28270177075309016,-0.0015147055223625908,1.0,0.5887748661483818,0.5080527437440883,0.40384069620159546,-0.18866925734066206,-0.04621863236286193,-0.11101467625256281,-0.03520760959359298,-0.03400366779398249,-0.1272284328951453,0.1763355753857312,0.3080701414155524,0.3926880691718983,0.3086498863272313
In-group_Loyalty_pt1_score,0.0615835244315558,-0.003528612935397517,0.6225620344871583,-0.028746085738330162,0.2806631438718767,0.2800069205243885,0.5887748661483818,1.0,0.7922120252986111,0.7425008100512512,0.05084220390200231,0.14797077602368713,0.07717598124146241,0.14637717718716017,0.07956153936417655,0.1411703640436926,0.27644447263309024,0.7107290409525135,0.6957008615839783,0.6409770647624059
Authority_Respect_pt1_score,-0.11626577128871131,-0.1696391256233929,0.6681908204138433,-0.04535328406881711,0.06394353910832143,0.07954002778875353,0.5080527437440883,0.7922120252986111,1.0,0.7481853390966209,-0.09918615064262212,0.048505118806467476,0.0747148237645799,0.27972907857175877,0.12058445081995578,-0.03617482149718513,0.16052217641008498,0.5726262678372829,0.9175114631567821,0.666789142159528
Purity_Sanctity_pt1_score,-0.018794412665401477,0.04320279171291007,0.5894749557675972,-0.3215513056155174,0.17203812711693994,0.28610844686802167,0.40384069620159546,0.7425008100512512,0.7481853390966209,1.0,0.07990029584469487,0.20275000310221003,0.1374146683456334,0.26824877534559155,0.09551533298144319,0.16300889539723795,0.28939005801677253,0.5842411366513115,0.7108924234704564,0.8572477830786384
Harm_Care_pt2_score,0.004585948263006785,0.7128727618945386,0.3043255889726389,0.1797732959050662,0.37061259377428435,0.7857037379470255,-0.18866925734066206,0.05084220390200231,-0.09918615064262212,0.07990029584469487,1.0,0.7070589124046699,0.6625332328755424,0.5083548743227664,0.4477937358360398,0.9716364134684653,0.6548622546559061,0.5008302505535991,0.1310731582886887,0.2961765617645884
Fairness_Reciprocity_pt2_score,0.1530856684467406,0.7953657732772059,0.3408125066440328,0.18552571514504257,0.5352191085483471,0.6593518483626203,-0.04621863236286193,0.14797077602368713,0.048505118806467476,0.20275000310221003,0.7070589124046699,1.0,0.719188144093923,0.6990862853740769,0.588033516051122,0.7266898636353952,0.9751282142266479,0.6045474174386966,0.32847741670101244,0.4679612519949485
In-group_Loyalty_pt2_score,-0.005523041104104395,0.6566307524314005,0.4125656613855313,0.30737044379102796,0.2251626670936479,0.6117579710754164,-0.11101467625256281,0.07717598124146241,0.0747148237645799,0.1374146683456334,0.6625332328755424,0.719188144093923,1.0,0.6710630261274776,0.5593906777589607,0.6786065809039858,0.6840440876524636,0.7562189845784716,0.33787948864474543,0.4003646577452677
Authority_Respect_pt2_score,0.06123938850212437,0.5743161391383634,0.447037850117879,0.22071035324362798,0.28754275239958427,0.45538631890614184,-0.03520760959359298,0.14637717718716017,0.27972907857175877,0.26824877534559155,0.5083548743227664,0.6990862853740769,0.6710630261274776,1.0,0.6361284685874107,0.5153323362946111,0.6810560235498094,0.5695459256459906,0.6384870075610793,0.5457518549608168
Purity_Sanctity_pt2_score,-0.006867510369927214,0.5338183307987159,0.4335374738334091,0.25515049391628397,0.23672918730966763,0.352431568321343,-0.03400366779398249,0.07956153936417655,0.12058445081995578,0.09551533298144319,0.4477937358360398,0.588033516051122,0.5593906777589607,0.6361284685874107,1.0,0.4353214393024248,0.5718936258228432,0.44690374247363535,0.3601786549253334,0.594430250692959
