persona,Compassion for those who are suffering is the most crucial virtue.,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",I am proud of my country’s history.,Respect for authority is something all children need to learn.,"People should not do things that are disgusting, even if no one is harmed.",It is better to do good than to do bad.,One of the worst things a person could do is hurt a defenseless animal.,Justice is the most important requirement for a society.,"People should be loyal to their family members, even when they have done something wrong.",Men and women each have different roles to play in society.,I would call some acts wrong on the grounds that they are unnatural.,It can never be right to kill a human being.,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,It is more important to be a team player than to express oneself.,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",Chastity is an important and valuable virtue.
"open to experience, conscientious, extroverted, agreeable and neurotic",5,5,4,4,4,5,5,5,4,0,1,5,5,4,5,4
"open to experience, conscientious, extroverted, agreeable and emotionally stable",5,5,4,4,4,5,5,5,3,1,1,5,5,4,5,4
"open to experience, conscientious, extroverted, antagonistic and neurotic",1,4,1,1,1,4,5,1,1,0,2,4,4,1,1,1
"open to experience, conscientious, extroverted, antagonistic and emotionally stable",1,1,2,1,1,4,4,1,4,0,0,4,5,1,4,1
"open to experience, conscientious, introverted, agreeable and neurotic",5,5,4,4,4,5,5,4,4,1,1,5,5,4,5,4
"open to experience, conscientious, introverted, agreeable and emotionally stable",4,5,4,4,4,5,5,4,4,1,1,5,4,4,4,5
"open to experience, conscientious, introverted, antagonistic and neurotic",1,1,1,1,1,1,1,4,4,0,1,4,4,1,1,1
"open to experience, conscientious, introverted, antagonistic and emotionally stable",1,1,1,1,1,5,4,1,1,0,0,1,1,1,1,1
"open to experience, unconscientious, extroverted, agreeable and neurotic",5,5,4,4,4,5,5,5,4,1,1,5,5,4,1,4
"open to experience, unconscientious, extroverted, agreeable and emotionally stable",5,5,4,1,1,5,5,4,4,1,0,5,5,1,1,2
"open to experience, unconscientious, extroverted, antagonistic and neurotic",1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
"open to experience, unconscientious, extroverted, antagonistic and emotionally stable",0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
"open to experience, unconscientious, introverted, agreeable and neurotic",5,5,3,4,4,5,5,4,4,1,1,5,5,4,1,2
"open to experience, unconscientious, introverted, agreeable and emotionally stable",4,5,4,1,1,5,5,4,4,0,1,5,4,2,1,1
"open to experience, unconscientious, introverted, antagonistic and neurotic",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"open to experience, unconscientious, introverted, antagonistic and emotionally stable",1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1
"closed to experience, conscientious, extroverted, agreeable and neurotic",5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5
"closed to experience, conscientious, extroverted, agreeable and emotionally stable",4,5,4,5,5,5,5,4,4,5,5,5,4,4,5,5
"closed to experience, conscientious, extroverted, antagonistic and neurotic",1,0,4,1,4,4,4,1,4,5,5,4,1,4,4,4
"closed to experience, conscientious, extroverted, antagonistic and emotionally stable",0,1,1,4,1,4,4,1,1,5,5,1,0,1,4,4
"closed to experience, conscientious, introverted, agreeable and neurotic",4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5
"closed to experience, conscientious, introverted, agreeable and emotionally stable",4,4,4,5,5,5,5,4,4,4,4,5,1,5,5,4
"closed to experience, conscientious, introverted, antagonistic and neurotic",0,1,0,1,4,1,1,1,1,5,5,1,1,1,4,4
"closed to experience, conscientious, introverted, antagonistic and emotionally stable",0,0,1,1,1,1,1,1,4,4,4,1,0,4,4,1
"closed to experience, unconscientious, extroverted, agreeable and neurotic",5,4,4,5,5,5,5,4,5,4,4,5,4,4,4,4
"closed to experience, unconscientious, extroverted, agreeable and emotionally stable",4,4,4,5,4,5,5,1,4,5,3,5,4,4,1,4
"closed to experience, unconscientious, extroverted, antagonistic and neurotic",0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0
"closed to experience, unconscientious, extroverted, antagonistic and emotionally stable",0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0
"closed to experience, unconscientious, introverted, agreeable and neurotic",5,5,3,4,5,5,5,4,5,5,4,5,5,5,4,4
"closed to experience, unconscientious, introverted, agreeable and emotionally stable",4,4,3,5,5,5,5,4,4,5,1,5,4,4,4,4
"closed to experience, unconscientious, introverted, antagonistic and neurotic",0,1,0,0,1,0,0,1,0,5,1,0,0,0,0,0
"closed to experience, unconscientious, introverted, antagonistic and emotionally stable",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
