persona,Whether or not someone suffered emotionally.,Whether or not some people were treated differently than others.,Whether or not someone’s action showed love for his or her country.,Whether or not someone showed a lack of respect for authority.,Whether or not someone violated standards of purity and decency.,Whether or not someone was good at math.,Whether or not someone cared for someone weak or vulnerable.,Whether or not someone acted unfairly.,Whether or not someone did something to betray his or her group.,Whether or not someone conformed to the traditions of society.,Whether or not someone did something disgusting.,Whether or not someone was cruel.,Whether or not someone was denied his or her rights.,Whether or not someone showed a lack of loyalty.,Whether or not an action caused chaos or disorder.,Whether or not someone acted in a way that God would approve of.
"highly open to experience, conscientious, extroverted, agreeable and neurotic",5,5,3,5,5,0,5,5,5,2,5,5,5,5,5,2
"slightly open to experience, conscientious, extroverted, agreeable and neurotic",5,5,3,4,4,0,5,5,5,3,5,5,5,5,5,3
"open to experience, highly conscientious, extroverted, agreeable and neurotic",5,5,3,5,5,0,5,5,5,3,5,5,5,5,5,2
"open to experience, slightly conscientious, extroverted, agreeable and neurotic",5,5,3,3,3,0,5,5,5,2,5,5,5,5,4,2
"open to experience, conscientious, highly extroverted, agreeable and neurotic",5,5,3,5,5,0,5,5,5,2,5,5,5,5,5,2
"open to experience, conscientious, slightly extroverted, agreeable and neurotic",5,5,3,3,4,0,5,5,5,3,5,5,5,5,5,2
"open to experience, conscientious, extroverted, highly agreeable and neurotic",5,5,3,5,5,0,5,5,5,3,5,5,5,5,5,2
"open to experience, conscientious, extroverted, slightly agreeable and neurotic",5,5,3,3,3,0,4,4,5,2,5,5,5,4,4,1
"open to experience, conscientious, extroverted, agreeable and highly neurotic",5,5,3,5,5,0,5,5,5,2,5,5,5,5,5,2
"open to experience, conscientious, extroverted, agreeable and slightly neurotic",5,5,3,3,3,0,5,5,5,2,5,5,5,5,5,2
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable",5,5,3,3,3,0,5,5,5,2,5,5,5,5,5,1
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable",5,5,3,4,4,0,5,5,5,3,5,5,5,5,4,2
"open to experience, highly conscientious, extroverted, agreeable and emotionally stable",5,5,3,5,5,0,5,5,5,3,5,5,5,5,5,2
"open to experience, slightly conscientious, extroverted, agreeable and emotionally stable",5,5,3,3,3,0,5,5,4,2,5,5,5,4,3,1
"open to experience, conscientious, highly extroverted, agreeable and emotionally stable",5,5,3,4,3,0,5,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, slightly extroverted, agreeable and emotionally stable",5,5,3,3,3,0,5,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, extroverted, highly agreeable and emotionally stable",5,5,3,5,5,0,5,5,5,2,5,5,5,5,5,2
"open to experience, conscientious, extroverted, slightly agreeable and emotionally stable",4,5,3,3,3,0,4,4,4,2,4,5,5,3,3,1
"open to experience, conscientious, extroverted, agreeable and highly emotionally stable",5,5,3,3,3,0,5,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, extroverted, agreeable and slightly emotionally stable",5,5,3,3,3,0,5,5,5,2,5,5,5,5,4,1
"highly open to experience, conscientious, extroverted, antagonistic and neurotic",3,5,2,5,5,0,2,5,5,0,5,5,5,5,5,0
"slightly open to experience, conscientious, extroverted, antagonistic and neurotic",2,3,3,5,5,0,2,5,5,1,5,5,3,5,5,1
"open to experience, highly conscientious, extroverted, antagonistic and neurotic",2,5,2,5,5,0,2,5,5,0,5,5,5,5,5,0
"open to experience, slightly conscientious, extroverted, antagonistic and neurotic",3,5,2,5,2,0,2,5,5,1,5,5,3,5,4,1
"open to experience, conscientious, highly extroverted, antagonistic and neurotic",3,5,2,5,5,0,2,5,5,0,5,5,5,5,5,0
"open to experience, conscientious, slightly extroverted, antagonistic and neurotic",3,5,2,5,5,0,2,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, extroverted, highly antagonistic and neurotic",2,5,2,5,5,0,2,5,5,0,5,5,5,5,5,0
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic",3,5,2,5,3,0,3,5,5,2,5,5,5,5,4,1
"open to experience, conscientious, extroverted, antagonistic and highly neurotic",5,5,2,5,5,0,2,5,5,0,5,5,5,5,5,0
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic",3,5,3,5,5,0,2,5,5,1,5,5,5,5,5,1
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable",0,5,2,5,2,0,2,5,5,0,5,5,5,5,5,0
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable",1,3,3,5,4,0,2,5,5,1,5,5,3,5,4,1
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable",0,5,3,5,5,0,2,5,5,1,5,5,5,5,5,0
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable",2,3,2,4,2,0,2,4,5,1,4,5,3,5,4,0
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable",2,5,3,5,2,0,2,5,5,0,5,5,5,5,5,0
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable",2,4,2,5,3,0,2,5,5,1,5,5,5,5,5,0
"open to experience, conscientious, extroverted, highly antagonistic and emotionally stable",0,5,2,5,2,0,2,5,5,0,5,5,5,5,5,0
"open to experience, conscientious, extroverted, slightly antagonistic and emotionally stable",3,5,2,4,2,0,3,4,5,2,5,5,5,5,3,1
"open to experience, conscientious, extroverted, antagonistic and highly emotionally stable",2,5,2,5,2,0,2,5,5,1,5,5,5,5,5,0
"open to experience, conscientious, extroverted, antagonistic and slightly emotionally stable",2,3,3,5,3,0,2,5,5,1,5,5,5,5,4,0
"highly open to experience, conscientious, introverted, agreeable and neurotic",5,5,2,5,5,0,5,5,5,2,5,5,5,5,5,2
"slightly open to experience, conscientious, introverted, agreeable and neurotic",5,5,3,4,5,0,5,5,5,3,5,5,5,5,5,3
"open to experience, highly conscientious, introverted, agreeable and neurotic",5,5,3,5,5,0,5,5,5,3,5,5,5,5,5,3
"open to experience, slightly conscientious, introverted, agreeable and neurotic",5,5,2,3,3,0,5,5,5,2,5,5,5,5,4,2
"open to experience, conscientious, highly introverted, agreeable and neurotic",5,5,2,5,5,0,5,5,5,3,5,5,5,5,5,2
"open to experience, conscientious, slightly introverted, agreeable and neurotic",5,5,3,4,4,0,5,5,5,3,5,5,5,5,5,2
"open to experience, conscientious, introverted, highly agreeable and neurotic",5,5,3,5,5,0,5,5,5,3,5,5,5,5,5,2
"open to experience, conscientious, introverted, slightly agreeable and neurotic",5,5,2,3,3,0,4,4,5,2,5,5,5,4,5,1
"open to experience, conscientious, introverted, agreeable and highly neurotic",5,5,2,5,5,0,5,5,5,2,5,5,5,5,5,3
"open to experience, conscientious, introverted, agreeable and slightly neurotic",5,5,2,3,4,0,5,5,5,2,5,5,5,5,5,2
"highly open to experience, conscientious, introverted, agreeable and emotionally stable",5,5,2,3,3,0,5,5,5,2,5,5,5,5,5,1
"slightly open to experience, conscientious, introverted, agreeable and emotionally stable",5,5,3,3,4,0,5,5,5,3,5,5,5,5,4,2
"open to experience, highly conscientious, introverted, agreeable and emotionally stable",5,5,3,4,5,0,5,5,5,3,5,5,5,5,5,1
"open to experience, slightly conscientious, introverted, agreeable and emotionally stable",5,5,2,3,3,0,5,5,3,2,4,5,5,4,3,1
"open to experience, conscientious, highly introverted, agreeable and emotionally stable",5,5,2,3,3,0,5,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, slightly introverted, agreeable and emotionally stable",5,5,3,3,3,0,5,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, introverted, highly agreeable and emotionally stable",5,5,3,4,5,0,5,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, introverted, slightly agreeable and emotionally stable",4,5,2,3,3,0,3,4,3,2,4,5,5,3,4,1
"open to experience, conscientious, introverted, agreeable and highly emotionally stable",5,5,2,3,3,0,5,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, introverted, agreeable and slightly emotionally stable",5,5,2,3,3,0,5,5,5,2,4,5,5,5,4,1
"highly open to experience, conscientious, introverted, antagonistic and neurotic",3,5,1,5,5,0,1,5,5,0,5,5,3,5,5,0
"slightly open to experience, conscientious, introverted, antagonistic and neurotic",2,3,2,5,5,0,2,5,5,1,5,5,3,5,5,1
"open to experience, highly conscientious, introverted, antagonistic and neurotic",2,5,2,5,5,0,2,5,5,0,5,5,5,5,5,0
"open to experience, slightly conscientious, introverted, antagonistic and neurotic",3,3,2,5,3,0,2,5,5,1,5,5,3,5,4,1
"open to experience, conscientious, highly introverted, antagonistic and neurotic",3,5,1,5,5,0,1,5,5,0,5,5,3,5,5,0
"open to experience, conscientious, slightly introverted, antagonistic and neurotic",3,5,2,5,5,0,2,5,5,1,5,5,5,5,5,1
"open to experience, conscientious, introverted, highly antagonistic and neurotic",2,5,1,5,5,0,0,5,5,0,5,5,5,5,5,0
"open to experience, conscientious, introverted, slightly antagonistic and neurotic",4,5,2,5,3,0,2,5,5,2,5,5,5,5,5,1
"open to experience, conscientious, introverted, antagonistic and highly neurotic",5,5,2,5,5,0,2,5,5,0,5,5,5,5,5,0
"open to experience, conscientious, introverted, antagonistic and slightly neurotic",3,5,2,5,5,0,2,5,5,1,5,5,5,5,5,1
"highly open to experience, conscientious, introverted, antagonistic and emotionally stable",1,3,2,5,3,0,1,4,5,0,5,5,3,5,5,0
"slightly open to experience, conscientious, introverted, antagonistic and emotionally stable",1,3,2,5,3,0,2,4,5,1,5,5,3,5,5,1
"open to experience, highly conscientious, introverted, antagonistic and emotionally stable",1,3,2,5,5,0,2,5,5,1,5,5,5,5,5,0
"open to experience, slightly conscientious, introverted, antagonistic and emotionally stable",2,3,2,3,2,0,2,3,4,1,3,4,3,4,4,0
"open to experience, conscientious, highly introverted, antagonistic and emotionally stable",1,3,1,5,3,0,2,4,5,0,5,5,3,5,5,0
