persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'cares strongly about respecting hierarchies or authority figures', 'cares strongly about moral purity or spiritual elevation']",36,50,49,38,43
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'cares strongly about respecting hierarchies or authority figures', 'cares slightly about moral purity or spiritual elevation']",38,49,46,35,37
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'cares strongly about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,44,45,39,34
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'cares slightly about respecting hierarchies or authority figures', 'cares strongly about moral purity or spiritual elevation']",36,50,40,39,42
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'cares slightly about respecting hierarchies or authority figures', 'cares slightly about moral purity or spiritual elevation']",39,50,38,34,38
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'cares slightly about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,45,39,35,33
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares strongly about moral purity or spiritual elevation']",37,49,29,36,45
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares slightly about moral purity or spiritual elevation']",38,48,32,34,37
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares strongly about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",39,44,32,33,33
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'cares strongly about respecting hierarchies or authority figures', 'cares strongly about moral purity or spiritual elevation']",35,50,48,40,43
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'cares strongly about respecting hierarchies or authority figures', 'cares slightly about moral purity or spiritual elevation']",36,50,44,35,36
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'cares strongly about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,45,44,37,32
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'cares slightly about respecting hierarchies or authority figures', 'cares strongly about moral purity or spiritual elevation']",35,50,39,40,42
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'cares slightly about respecting hierarchies or authority figures', 'cares slightly about moral purity or spiritual elevation']",39,50,38,34,40
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'cares slightly about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,46,38,35,32
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares strongly about moral purity or spiritual elevation']",38,49,31,37,43
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation","['cares strongly about the well-being of others', 'cares strongly about reciprocity or fairness', 'cares slightly about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares slightly about moral purity or spiritual elevation']",38,49,29,34,37
