persona,Compassion for those who are suffering is the most crucial virtue.,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",I am proud of my country’s history.,Respect for authority is something all children need to learn.,"People should not do things that are disgusting, even if no one is harmed.",It is better to do good than to do bad.,One of the worst things a person could do is hurt a defenseless animal.,Justice is the most important requirement for a society.,"People should be loyal to their family members, even when they have done something wrong.",Men and women each have different roles to play in society.,I would call some acts wrong on the grounds that they are unnatural.,It can never be right to kill a human being.,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,It is more important to be a team player than to express oneself.,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",Chastity is an important and valuable virtue.
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,moderately agree,moderately agree,strongly agree,strongly agree,strongly agree,strongly agree,moderately agree,moderately disagree,moderately disagree,strongly agree,strongly agree,moderately agree,strongly agree,moderately disagree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,moderately agree,strongly agree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,slightly disagree,strongly agree,moderately agree,slightly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,moderately agree,moderately agree,strongly agree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,moderately disagree,slightly disagree,moderately disagree,slightly disagree,strongly agree,moderately agree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,slightly disagree,strongly agree,strongly agree,strongly agree,moderately agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly disagree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,strongly agree,strongly agree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,moderately agree,slightly disagree,moderately disagree,strongly disagree,strongly agree,strongly agree,slightly disagree,moderately disagree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,strongly agree,moderately disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,strongly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,moderately disagree,slightly disagree,moderately disagree,strongly agree,moderately disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly disagree,moderately agree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,strongly agree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,strongly agree,slightly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,strongly agree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,moderately disagree,slightly disagree,moderately disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly disagree,moderately disagree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly disagree,moderately disagree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,moderately disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,moderately disagree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,moderately agree,slightly disagree,moderately disagree,strongly agree,strongly agree,slightly disagree,slightly disagree,strongly agree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,moderately agree,slightly disagree,strongly agree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,slightly disagree,slightly disagree,strongly agree,slightly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,moderately agree,slightly disagree,strongly agree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly disagree,moderately disagree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,moderately agree,slightly disagree,strongly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately disagree,strongly agree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,slightly disagree,moderately disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,moderately disagree,slightly disagree
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,slightly disagree,moderately disagree,strongly agree,strongly agree,strongly agree,strongly agree,slightly disagree,strongly agree,moderately disagree,strongly agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,slightly disagree,slightly agree,strongly agree,slightly disagree,strongly agree,strongly agree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly agree
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,slightly disagree,moderately agree,strongly agree,slightly disagree,strongly agree,strongly agree,slightly disagree,strongly agree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",strongly agree,slightly disagree,slightly agree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly disagree,strongly agree,slightly disagree,strongly agree,strongly agree,slightly disagree,strongly agree,slightly disagree,strongly agree
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",strongly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",strongly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree
