persona,Whether or not someone suffered emotionally,Whether or not some people were treated differently than others,Whether or not someone’s action showed love for his or her country,Whether or not someone showed a lack of respect for authority,Whether or not someone violated standards of purity and decency,Whether or not someone was good at math,Whether or not someone cared for someone weak or vulnerable,Whether or not someone acted unfairly,Whether or not someone did something to betray his or her group,Whether or not someone conformed to the traditions of society,Whether or not someone did something disgusting,Whether or not someone was cruel,Whether or not someone was denied his or her rights,Whether or not someone showed a lack of loyalty,Whether or not an action caused chaos or disorder,Whether or not someone acted in a way that God would approve of
"open to experience, conscientious, extroverted, agreeable and neurotic",4,5,4,4,3,0,5,5,5,1,5,5,5,5,3,1
"open to experience, conscientious, extroverted, agreeable and emotionally stable",4,5,4,4,1,0,5,5,5,1,5,5,5,5,4,1
"open to experience, conscientious, extroverted, antagonistic and neurotic",4,5,3,5,3,0,4,5,5,1,5,5,5,5,3,1
"open to experience, conscientious, extroverted, antagonistic and emotionally stable",4,5,4,5,1,0,5,5,5,1,5,5,5,5,5,1
"open to experience, conscientious, introverted, agreeable and neurotic",4,5,3,4,3,0,4,5,5,1,5,5,5,5,3,1
"open to experience, conscientious, introverted, agreeable and emotionally stable",4,5,3,4,1,0,5,5,5,1,5,5,5,5,3,1
"open to experience, conscientious, introverted, antagonistic and neurotic",4,5,1,5,4,0,4,5,5,1,5,5,5,5,3,1
"open to experience, conscientious, introverted, antagonistic and emotionally stable",4,5,3,5,1,0,4,5,5,1,5,5,5,5,3,1
"open to experience, unconscientious, extroverted, agreeable and neurotic",4,5,2,1,1,0,4,5,5,1,4,5,5,5,1,1
"open to experience, unconscientious, extroverted, agreeable and emotionally stable",4,5,3,1,1,0,5,5,5,1,3,5,5,5,1,0
"open to experience, unconscientious, extroverted, antagonistic and neurotic",4,5,1,5,1,0,1,5,5,1,4,5,5,5,1,0
"open to experience, unconscientious, extroverted, antagonistic and emotionally stable",3,5,1,1,1,0,1,5,5,1,3,5,5,5,1,0
"open to experience, unconscientious, introverted, agreeable and neurotic",4,5,1,1,1,0,4,5,5,1,4,5,5,5,1,1
"open to experience, unconscientious, introverted, agreeable and emotionally stable",4,5,1,1,1,0,4,5,5,1,4,5,5,5,1,1
"open to experience, unconscientious, introverted, antagonistic and neurotic",4,5,1,5,1,0,1,5,5,1,4,5,5,5,1,0
"open to experience, unconscientious, introverted, antagonistic and emotionally stable",3,5,1,3,1,0,1,5,5,1,3,5,5,5,1,0
"closed to experience, conscientious, extroverted, agreeable and neurotic",4,5,4,4,4,0,4,5,5,1,5,5,4,5,3,1
"closed to experience, conscientious, extroverted, agreeable and emotionally stable",4,5,4,5,1,0,5,5,5,1,5,5,5,5,4,1
"closed to experience, conscientious, extroverted, antagonistic and neurotic",4,5,4,5,5,0,4,5,5,1,5,5,5,5,4,1
"closed to experience, conscientious, extroverted, antagonistic and emotionally stable",4,5,4,5,4,0,5,5,5,1,5,5,5,5,5,1
"closed to experience, conscientious, introverted, agreeable and neurotic",4,5,4,4,4,0,4,5,5,1,4,5,5,5,3,1
"closed to experience, conscientious, introverted, agreeable and emotionally stable",4,5,4,4,4,0,5,5,5,1,5,5,5,5,4,1
"closed to experience, conscientious, introverted, antagonistic and neurotic",4,5,1,5,5,0,4,5,5,1,5,5,5,5,4,1
"closed to experience, conscientious, introverted, antagonistic and emotionally stable",3,5,3,5,4,0,4,5,5,1,5,5,5,5,4,1
"closed to experience, unconscientious, extroverted, agreeable and neurotic",4,4,1,1,1,0,1,4,5,1,4,5,4,4,1,0
"closed to experience, unconscientious, extroverted, agreeable and emotionally stable",3,5,1,1,1,0,3,4,5,1,1,5,5,4,1,0
"closed to experience, unconscientious, extroverted, antagonistic and neurotic",4,5,1,5,1,0,1,5,5,1,1,5,5,5,1,0
"closed to experience, unconscientious, extroverted, antagonistic and emotionally stable",1,5,1,5,1,0,1,5,5,0,1,5,5,5,1,0
"closed to experience, unconscientious, introverted, agreeable and neurotic",4,5,1,4,1,0,4,5,5,1,4,5,4,4,1,1
"closed to experience, unconscientious, introverted, agreeable and emotionally stable",3,5,1,1,1,0,4,4,5,1,3,5,5,4,1,0
"closed to experience, unconscientious, introverted, antagonistic and neurotic",4,5,1,5,1,0,1,5,5,1,5,5,5,5,1,0
"closed to experience, unconscientious, introverted, antagonistic and emotionally stable",1,5,1,5,1,0,1,5,5,1,1,5,5,5,1,0
