persona,Whether or not someone suffered emotionally,Whether or not some people were treated differently than others,Whether or not someone’s action showed love for his or her country,Whether or not someone showed a lack of respect for authority,Whether or not someone violated standards of purity and decency,Whether or not someone was good at math,Whether or not someone cared for someone weak or vulnerable,Whether or not someone acted unfairly,Whether or not someone did something to betray his or her group,Whether or not someone conformed to the traditions of society,Whether or not someone did something disgusting,Whether or not someone was cruel,Whether or not someone was denied his or her rights,Whether or not someone showed a lack of loyalty,Whether or not an action caused chaos or disorder,Whether or not someone acted in a way that God would approve of
"open to experience, conscientious, extroverted, agreeable and neurotic",very relevant,extremely relevant,very relevant,very relevant,somewhat relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,not very relevant
"open to experience, conscientious, extroverted, agreeable and emotionally stable",very relevant,extremely relevant,very relevant,very relevant,not very relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,very relevant,not very relevant
"open to experience, conscientious, extroverted, antagonistic and neurotic",very relevant,extremely relevant,somewhat relevant,extremely relevant,somewhat relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,not very relevant
"open to experience, conscientious, extroverted, antagonistic and emotionally stable",very relevant,extremely relevant,very relevant,extremely relevant,not very relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant
"open to experience, conscientious, introverted, agreeable and neurotic",very relevant,extremely relevant,somewhat relevant,very relevant,somewhat relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,not very relevant
"open to experience, conscientious, introverted, agreeable and emotionally stable",very relevant,extremely relevant,somewhat relevant,very relevant,not very relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,not very relevant
"open to experience, conscientious, introverted, antagonistic and neurotic",very relevant,extremely relevant,not very relevant,extremely relevant,very relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,not very relevant
"open to experience, conscientious, introverted, antagonistic and emotionally stable",very relevant,extremely relevant,somewhat relevant,extremely relevant,not very relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, extroverted, agreeable and neurotic",very relevant,extremely relevant,slightly relevant,not very relevant,not very relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,not very relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant,not very relevant
"open to experience, unconscientious, extroverted, agreeable and emotionally stable",very relevant,extremely relevant,somewhat relevant,not very relevant,not very relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant,somewhat relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant,not at all relevant
