,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.2131553298462157,-0.43215796445548954,-0.1167845496163447,-0.2140115707068138,0.16588192309184824,0.02608907651818426,-0.12333924579884593,-0.5340438242479063,-0.4088377785367685,0.10294928068659844,0.1309208166250648,0.012025183677827383,-0.45202305861238984,-0.4429085060086668,0.14069031860243272,0.08051790021545771,-0.06866584199887213,-0.5086643179283463,-0.42835565512688933
Agreeableness_score,0.2131553298462157,1.0,0.27838625109231,-0.44597971339145465,-0.22575505280229882,0.8503031908465861,0.22413491899675161,-0.008091683509002849,0.00989980470377658,-0.01929817741340218,0.7255386440276955,0.18637668650026518,0.04584731552418681,-0.16540907408305727,-0.007997044573954941,0.8172606388345617,0.20958396198555063,0.01571104006049196,-0.090603853435455,-0.014101299924736178
Conscientiousness_score,-0.43215796445548954,0.27838625109231,1.0,-0.3156016573933016,0.0562218383788237,0.4637587913375911,0.24609875514977667,0.2144333362533136,0.7505623329169646,0.4946601821666621,0.39702625268094044,0.06591389252909122,0.16533809885266995,0.49150537782062065,0.4732896033929235,0.44637575770724486,0.158841863889479,0.20294044662905775,0.6321315743145708,0.4886101501304228
Neuroticism_score,-0.1167845496163447,-0.44597971339145465,-0.3156016573933016,1.0,0.02814300250764782,-0.5175158740106139,-0.20044446365814442,0.06068740000704456,-0.027212604762123012,-0.07805407604863017,-0.45586920589394747,-0.156547755486971,0.07622986140718097,0.08731987371305694,-0.025601539745128406,-0.5043454506024581,-0.1822268382881051,0.07064196771836097,0.03760020402894217,-0.05383859874224972
Openness_score,-0.2140115707068138,-0.22575505280229882,0.0562218383788237,0.02814300250764782,1.0,0.010197264823817883,-0.03792816212708332,-0.12214506986200097,-0.14065493878763147,0.6097447661309338,0.24111880688296444,0.00790707182591146,-0.3682291377452575,-0.21375374280708415,0.5743113881675825,0.12269185310501261,-0.015197944268124014,-0.2385534029825181,-0.18848087789756762,0.597978715980571
Harm_Care_pt1_score,0.16588192309184824,0.8503031908465861,0.4637587913375911,-0.5175158740106139,0.010197264823817883,1.0,0.2550952376582041,0.004068310143708024,0.0778098862603784,0.3000075384472532,0.8759672490416469,0.1874048756274884,-0.04954141267828245,-0.16612808033471158,0.27205843954634357,0.9721646132864908,0.2258345734740809,-0.019784330804036854,-0.05942070996352898,0.28923492863746464
Fairness_Reciprocity_pt1_score,0.02608907651818426,0.22413491899675161,0.24609875514977667,-0.20044446365814442,-0.03792816212708332,0.2550952376582041,1.0,-0.017462726306767217,0.01830597507688955,0.055028006003194206,0.18309215623515163,0.9161750114026668,-0.1809000374932969,-0.3430702230359403,0.019207851996174256,0.22838933291660515,0.9785674246498987,-0.09164825480323613,-0.18895499522369877,0.03850532696019069
In-group_Loyalty_pt1_score,-0.12333924579884593,-0.008091683509002849,0.2144333362533136,0.06068740000704456,-0.12214506986200097,0.004068310143708024,-0.017462726306767217,1.0,0.16425250978996872,0.015827650095122284,-0.10943643717642353,-0.0899734444930278,0.8131727348384493,0.17764291034167456,0.013016482801278484,-0.05093179357933147,-0.05509780922099311,0.9653037100845234,0.1786747736371099,0.014625835045892599
Authority_Respect_pt1_score,-0.5340438242479063,0.00989980470377658,0.7505623329169646,-0.027212604762123012,-0.14065493878763147,0.0778098862603784,0.01830597507688955,0.16425250978996872,1.0,0.18040797345839996,-0.03693163472750155,-0.16602055033697688,0.275715671014275,0.8442358314392974,0.20180872519817197,0.02459903681168157,-0.07600797695847991,0.22233047499580164,0.9512220154198271,0.19203785695406042
Purity_Sanctity_pt1_score,-0.4088377785367685,-0.01929817741340218,0.4946601821666621,-0.07805407604863017,0.6097447661309338,0.3000075384472532,0.055028006003194206,0.015827650095122284,0.18040797345839996,1.0,0.5057734076691072,0.008861803344928766,-0.26884059541709887,-0.04266660362032491,0.9673084325783236,0.4096762477912342,0.03249773916082403,-0.11111385380062662,0.059380661705391136,0.9927508159585793
