,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.31661676044573156,-0.26683212865284667,-0.4058020493855463,-0.06432199110963159,0.09012580899507551,0.16087692855473648,-0.10393473244707979,-0.45190123399343,-0.4883719534692728,-0.11263787121612885,0.18223833991877966,-0.10873333585624184,-0.49067441152273356,-0.48938019667349925,-0.032835849347425373,0.18529094830671064,-0.113743656383552,-0.4973086809125109,-0.4954609144940414
Agreeableness_score,0.31661676044573156,1.0,0.38033156392727646,-0.3986225945465002,-0.08014139188225443,0.7305571120714395,0.49935981042806354,0.0020004541480448373,0.0884969983222762,0.0672643077210245,0.6570821981738438,0.373788038080258,0.06912442405212492,-0.03438352868585709,0.09659882398028555,0.7646420384911096,0.45614943552537324,0.036955404850426546,0.01667845440126671,0.08172438953282216
Conscientiousness_score,-0.26683212865284667,0.38033156392727646,1.0,-0.020493211293345824,-0.08645400362737472,0.2994033733162966,0.51178128817819,0.2846470992261168,0.6157711796613099,0.33897574344012843,0.4742908568385372,0.46822723719893794,0.3046702356345571,0.5587391609434723,0.41530827806686954,0.4479577111319313,0.5202957505332976,0.31507982973853993,0.6096819094663418,0.3788263296583869
Neuroticism_score,-0.4058020493855463,-0.3986225945465002,-0.020493211293345824,1.0,0.13095324187666646,-0.36396881479717386,-0.2451029552026841,0.020593937826830912,0.18154180619955199,0.16783077831649496,-0.13918468315107702,-0.1947845049662619,0.011038631452405604,0.21743429698179137,0.13046369041284972,-0.25740820514930535,-0.23091164878114628,0.017088477052565047,0.21235085890054567,0.15284930307621364
Openness_score,-0.06432199110963159,-0.08014139188225443,-0.08645400362737472,0.13095324187666646,1.0,0.059663604614567795,0.059237133179485015,-0.2653932490015324,-0.27764719258099374,0.40806230719963194,0.25426042259444903,0.14937514601009746,-0.4241699229708789,-0.38532156884431984,0.37718567096232797,0.19414250997091095,0.11924730787697894,-0.36643489303023324,-0.3574163167357627,0.39933640643846435
Harm_Care_pt1_score,0.09012580899507551,0.7305571120714395,0.2994033733162966,-0.36396881479717386,0.059663604614567795,1.0,0.45757834304968725,-0.09203098379069662,0.11651797817764124,0.23399479448025476,0.6025364055261953,0.3123001049370062,-0.05020353560943814,-0.04335349030500009,0.25241175195621,0.8517434421076754,0.3992469951271638,-0.07681877900105023,0.02314521761168613,0.2456739188998461
Fairness_Reciprocity_pt1_score,0.16087692855473648,0.49935981042806354,0.51178128817819,-0.2451029552026841,0.059237133179485015,0.45757834304968725,1.0,-0.04156319524292044,0.1634746217834725,0.14712114766532405,0.421714135363278,0.7422152843248031,-0.15551930666155936,-0.00991256745310333,0.17664697039068766,0.4855948447097818,0.909549656258956,-0.10359418401677682,0.06396703475301907,0.162752603123968
In-group_Loyalty_pt1_score,-0.10393473244707979,0.0020004541480448373,0.2846470992261168,0.020593937826830912,-0.2653932490015324,-0.09203098379069662,-0.04156319524292044,1.0,0.16882289927964014,0.01970758444073319,0.0033861815578471307,-0.057209029425965695,0.7452306336893423,0.32346776741090255,0.06335030781066107,-0.03975861904184866,-0.054150849479331464,0.9382929668568226,0.27248909231940843,0.04013079730734186
Authority_Respect_pt1_score,-0.45190123399343,0.0884969983222762,0.6157711796613099,0.18154180619955199,-0.27764719258099374,0.11651797817764124,0.1634746217834725,0.16882289927964014,1.0,0.10503005695569037,0.08827904251084266,0.043623846989484856,0.30911641282347385,0.817051736775041,0.15904099370095787,0.11110843696232162,0.10049735680130986,0.25347675343250214,0.9342334792581393,0.13139886718289995
Purity_Sanctity_pt1_score,-0.4883719534692728,0.0672643077210245,0.33897574344012843,0.16783077831649496,0.40806230719963194,0.23399479448025476,0.14712114766532405,0.01970758444073319,0.10503005695569037,1.0,0.6686246286365419,0.219718513791766,-0.10886160235084415,0.003153185773143759,0.9464144288794702,0.5457033932380927,0.20235390451993934,-0.04558722693873532,0.046988100440893944,0.9888140896619991
Harm_Care_pt2_score,-0.11263787121612885,0.6570821981738438,0.4742908568385372,-0.13918468315107702,0.25426042259444903,0.6025364055261953,0.421714135363278,0.0033861815578471307,0.08827904251084266,0.6686246286365419,1.0,0.404543451134012,-0.045749243196702025,-0.031143151982643953,0.6852222100652026,0.9313736602224216,0.44033821937259165,-0.02185957317986346,0.018589486805368358,0.6853579553705175
Fairness_Reciprocity_pt2_score,0.18223833991877966,0.373788038080258,0.46822723719893794,-0.1947845049662619,0.14937514601009746,0.3123001049370062,0.7422152843248031,-0.057209029425965695,0.043623846989484856,0.219718513791766,0.404543451134012,1.0,-0.24136850654819997,-0.125088950372696,0.25077721162774325,0.4080505760591597,0.9535976127593293,-0.15675315004848386,-0.05867369984982918,0.23704247923640845
In-group_Loyalty_pt2_score,-0.10873333585624184,0.06912442405212492,0.3046702356345571,0.011038631452405604,-0.4241699229708789,-0.05020353560943814,-0.15551930666155936,0.7452306336893423,0.30911641282347385,-0.10886160235084415,-0.045749243196702025,-0.24136850654819997,1.0,0.5233038652514119,-0.04056024713037996,-0.052936375666977224,-0.2195530207529935,0.9298540911406318,0.45626620080913644,-0.07879371571895294
Authority_Respect_pt2_score,-0.49067441152273356,-0.03438352868585709,0.5587391609434723,0.21743429698179137,-0.38532156884431984,-0.04335349030500009,-0.00991256745310333,0.32346776741090255,0.817051736775041,0.003153185773143759,-0.031143151982643953,-0.125088950372696,0.5233038652514119,1.0,0.09423442144655339,-0.04022247635995985,-0.08202633070845283,0.4498951939613419,0.9689557033841127,0.04526087111049461
Purity_Sanctity_pt2_score,-0.48938019667349925,0.09659882398028555,0.41530827806686954,0.13046369041284972,0.37718567096232797,0.25241175195621,0.17664697039068766,0.06335030781066107,0.15904099370095787,0.9464144288794702,0.6852222100652026,0.25077721162774325,-0.04056024713037996,0.09423442144655339,1.0,0.5650012048304902,0.2348797964483847,0.013918526466512307,0.12649107215360017,0.9839976673017035
Harm_Care_total_score,-0.032835849347425373,0.7646420384911096,0.4479577111319313,-0.25740820514930535,0.19414250997091095,0.8517434421076754,0.4855948447097818,-0.03975861904184866,0.11110843696232162,0.5457033932380927,0.9313736602224216,0.4080505760591597,-0.052936375666977224,-0.04022247635995985,0.5650012048304902,1.0,0.4712128743261062,-0.04939349980353626,0.022762414144277612,0.5620167318936745
Fairness_Reciprocity_total_score,0.18529094830671064,0.45614943552537324,0.5202957505332976,-0.23091164878114628,0.11924730787697894,0.3992469951271638,0.909549656258956,-0.054150849479331464,0.10049735680130986,0.20235390451993934,0.44033821937259165,0.9535976127593293,-0.2195530207529935,-0.08202633070845283,0.2348797964483847,0.4712128743261062,1.0,-0.14375104688688428,-0.007647498308573757,0.2201199789750874
In-group_Loyalty_total_score,-0.113743656383552,0.036955404850426546,0.31507982973853993,0.017088477052565047,-0.36643489303023324,-0.07681877900105023,-0.10359418401677682,0.9382929668568226,0.25347675343250214,-0.04558722693873532,-0.02185957317986346,-0.15675315004848386,0.9298540911406318,0.4498951939613419,0.013918526466512307,-0.04939349980353626,-0.14375104688688428,1.0,0.38699705019888997,-0.018723368672249975
Authority_Respect_total_score,-0.4973086809125109,0.01667845440126671,0.6096819094663418,0.21235085890054567,-0.3574163167357627,0.02314521761168613,0.06396703475301907,0.27248909231940843,0.9342334792581393,0.046988100440893944,0.018589486805368358,-0.05867369984982918,0.45626620080913644,0.9689557033841127,0.12649107215360017,0.022762414144277612,-0.007647498308573757,0.38699705019888997,1.0,0.0843429753098368
Purity_Sanctity_total_score,-0.4954609144940414,0.08172438953282216,0.3788263296583869,0.15284930307621364,0.39933640643846435,0.2456739188998461,0.162752603123968,0.04013079730734186,0.13139886718289995,0.9888140896619991,0.6853579553705175,0.23704247923640845,-0.07879371571895294,0.04526087111049461,0.9839976673017035,0.5620167318936745,0.2201199789750874,-0.018723368672249975,0.0843429753098368,1.0
