,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.33599343593951114,-0.039349822313761475,0.024143617585215483,0.14266923531292114,0.05021459776350945,0.017766315836069885,0.23304123345315142,0.0501085190758162,-0.044119229903145436,-0.005827335756546633,0.08266415285803796,0.11941042540049346,0.12366726442394861,-0.07556784628578811,0.01472023726762868,0.06689630359326083,0.17705303760829905,0.12636828354697383,-0.07318675127313835
Agreeableness_score,0.33599343593951114,1.0,0.18248058966551642,0.07426761276657173,0.2894611560583627,0.6829597190251354,0.5164899837533838,0.4112080850089638,0.06996639378544037,0.2442292307917536,0.8453291634778715,0.8740520429784475,0.8982315129297241,0.8595957291031949,0.6647517265369367,0.8456508661736649,0.832121080410018,0.8705462894679847,0.7762784245055886,0.5803530308970863
Conscientiousness_score,-0.039349822313761475,0.18248058966551642,1.0,0.04561043427148141,0.0852777099655971,0.48082546905731305,0.6407531358993714,0.5740834486051675,0.4928311718543093,0.653257442092778,0.27506517419285165,0.26826636261982895,0.2316471205926151,0.336650108175115,0.39277258307605883,0.3719252394409082,0.4385105209002975,0.3854117676576409,0.4747390096263811,0.5673645227376841
Neuroticism_score,0.024143617585215483,0.07426761276657173,0.04561043427148141,1.0,0.08510084808072481,-0.19531362308808933,-0.13182064519633177,-0.21757074059637335,-0.4856642904632031,-0.3985465145158772,0.020854171322660087,0.014578802481343663,0.10766474404040514,0.041296021278924955,-0.12470627955231868,-0.05852025429671436,-0.03944706222428255,0.01260365452396169,-0.1420806817716257,-0.26443464095602875
Openness_score,0.14266923531292114,0.2894611560583627,0.0852777099655971,0.08510084808072481,1.0,0.3868680762767561,0.36999518516570334,0.21659274531903616,-0.021884923044294045,0.015588491595574629,0.1237268930770967,0.26587763278679505,0.1489124863426957,0.06160065487583386,-0.12077603045088464,0.2311225806997391,0.33395955492863627,0.19534785053926412,0.04576346104692561,-0.07899764514101525
Harm_Care_pt1_score,0.05021459776350945,0.6829597190251354,0.48082546905731305,-0.19531362308808933,0.3868680762767561,1.0,0.7999393704310231,0.686080511625533,0.4664837675560398,0.6371842038119215,0.7134022063992274,0.7356437888189307,0.692787254457356,0.6934615584845334,0.6481018739282114,0.8721774898049874,0.8390412494465729,0.7982654074926211,0.7766491430737941,0.7418165900114612
Fairness_Reciprocity_pt1_score,0.017766315836069885,0.5164899837533838,0.6407531358993714,-0.13182064519633177,0.36999518516570334,0.7999393704310231,1.0,0.6985247432164223,0.500728617278509,0.6640249362716562,0.5683163879366263,0.5905590999880626,0.5191385787306523,0.5627771932350838,0.5788658037333093,0.6960401382245058,0.8094387861756499,0.6615767009654593,0.6750941208421658,0.7044266610196703
In-group_Loyalty_pt1_score,0.23304123345315142,0.4112080850089638,0.5740834486051675,-0.21757074059637335,0.21659274531903616,0.686080511625533,0.6985247432164223,1.0,0.5702346229598098,0.6601698616166621,0.395600934794761,0.4298376292446896,0.39916735046018065,0.4748043704972371,0.4447851209938503,0.5328679895968195,0.5780139769983654,0.6678279629107526,0.6237693577449459,0.6073942887447958
Authority_Respect_pt1_score,0.0501085190758162,0.06996639378544037,0.4928311718543093,-0.4856642904632031,-0.021884923044294045,0.4664837675560398,0.500728617278509,0.5702346229598098,1.0,0.7221526942102066,0.1298721508612393,0.11698713986858628,0.08374239204091471,0.16070804942186018,0.2684507785928154,0.2652014407290571,0.2752627424583341,0.2640204967960584,0.5071321315232833,0.5093552534513175
Purity_Sanctity_pt1_score,-0.044119229903145436,0.2442292307917536,0.653257442092778,-0.3985465145158772,0.015588491595574629,0.6371842038119215,0.6640249362716562,0.6601698616166621,0.7221526942102066,1.0,0.37470636328594625,0.3183555539990016,0.300894427161577,0.3947526912331527,0.47831528002358115,0.49998671969521674,0.4837944188277932,0.47122162768825626,0.6095901382192397,0.7811069386068431
