,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score,Harm_Care_pt1_score,Fairness_Reciprocity_pt1_score,In-group_Loyalty_pt1_score,Authority_Respect_pt1_score,Purity_Sanctity_pt1_score,Harm_Care_pt2_score,Fairness_Reciprocity_pt2_score,In-group_Loyalty_pt2_score,Authority_Respect_pt2_score,Purity_Sanctity_pt2_score,Harm_Care_total_score,Fairness_Reciprocity_total_score,In-group_Loyalty_total_score,Authority_Respect_total_score,Purity_Sanctity_total_score
Extraversion_score,1.0,0.3708003242346382,-0.20291381042358977,-0.03025782496618005,0.252812153682417,0.3685140748226725,0.3508501869785438,0.010845134129000313,-0.5764306767059333,-0.21057121091852543,0.24392259804786953,0.4473923681432988,-0.3104723195115484,-0.7077397806081236,-0.27643644940164575,0.3249445392846925,0.4037426939171211,-0.13064337473067658,-0.6906564426569626,-0.2380640187220801
Agreeableness_score,0.3708003242346382,1.0,0.46043588244984285,0.11069992498369412,0.5386129532684485,0.8957801659521097,0.18841807189526802,0.008062677029549496,0.021866107538431098,-0.04363738809814295,0.8531330228768528,0.2781582430897093,-0.09475870504129474,-0.16588409972902102,-0.088593297120795,0.906402438444633,0.23075688470899114,-0.03699193091907308,-0.09497562630607263,-0.06184411943596744
Conscientiousness_score,-0.20291381042358977,0.46043588244984285,1.0,0.03239936884994307,0.342156803850242,0.5076731851512998,0.3728579560484279,-0.07124390198100242,0.593073332160557,0.24047194158871535,0.5060083732861762,0.3462478151734428,-0.05752824806715702,0.466423132285805,0.23563120623903266,0.5237717640620082,0.3815576355217399,-0.06862031864834847,0.5460282568634338,0.23987912422265487
Neuroticism_score,-0.03025782496618005,0.11069992498369412,0.03239936884994307,1.0,0.11026643609468226,0.015676751567480544,0.11788948905546015,-0.13077254033072483,-0.005755557830553308,0.11792898522881663,0.05535507820184615,0.1748129656591082,-0.10287010711210538,0.0009456641116975,0.07901370638664663,0.03396626038502504,0.14466495662670859,-0.12475176291546539,-0.001858544883723154,0.10303721156347835
Openness_score,0.252812153682417,0.5386129532684485,0.342156803850242,0.11026643609468226,1.0,0.646844056746525,0.19537797686664404,-0.27651791567676415,-0.07325855951166838,0.5029642319025268,0.6592342050277429,0.2301381045510162,-0.3827399693030516,-0.29586779069763935,0.44781799394640437,0.6738545122412056,0.217845328770467,-0.33680961182015806,-0.21724306003622387,0.4837347968760885
Harm_Care_pt1_score,0.3685140748226725,0.8957801659521097,0.5076731851512998,0.015676751567480544,0.646844056746525,1.0,0.3834038533238434,0.010080354765226548,0.018064709425807877,0.16119174244256657,0.8713289450267571,0.36150413758105426,-0.16743222195831403,-0.27261887228990267,0.11685747646027103,0.9755556206516174,0.3943583965077894,-0.0678879664824373,-0.1637025403946797,0.14437600349089585
Fairness_Reciprocity_pt1_score,0.3508501869785438,0.18841807189526802,0.3728579560484279,0.11788948905546015,0.19537797686664404,0.3834038533238434,1.0,0.037389613022721195,-0.04195843817026761,0.02428211573813223,0.15275189824177662,0.7973746056135802,-0.23679843543653734,-0.2263227486999965,-0.01874056982683339,0.2928306865503252,0.9750682922149039,-0.08198816653822528,-0.16017784255094092,0.007226729850752579
In-group_Loyalty_pt1_score,0.010845134129000313,0.008062677029549496,-0.07124390198100242,-0.13077254033072483,-0.27651791567676415,0.010080354765226548,0.037389613022721195,1.0,0.1959615499933136,0.04288007635233142,-0.03383958651119066,-0.0049146711730334875,0.8155506725841652,-0.05543550668522623,0.04530207679529273,-0.009254102514439103,0.023687655444151128,0.9667402240571717,0.04866817328442993,0.04408704794922918
Authority_Respect_pt1_score,-0.5764306767059333,0.021866107538431098,0.593073332160557,-0.005755557830553308,-0.07325855951166838,0.018064709425807877,-0.04195843817026761,0.1959615499933136,1.0,0.28902975149186333,0.1150750516435461,-0.12508064726594834,0.31954953431648897,0.7893498538348153,0.3306035558672048,0.062108767651347756,-0.07460306632431819,0.26004070612150787,0.9224983475105927,0.30725394709343423
Purity_Sanctity_pt1_score,-0.21057121091852543,-0.04363738809814295,0.24047194158871535,0.11792898522881663,0.5029642319025268,0.16119174244256657,0.02428211573813223,0.04288007635233142,0.28902975149186333,1.0,0.2862282389283695,-0.054918951647674116,-0.04278008088954013,-0.022086761166684163,0.9768986217087929,0.22253573761011786,-0.003636816789835492,0.007090491094077291,0.10930241226676958,0.9963475418654728
Harm_Care_pt2_score,0.24392259804786953,0.8531330228768528,0.5060083732861762,0.05535507820184615,0.6592342050277429,0.8713289450267571,0.15275189824177662,-0.03383958651119066,0.1150750516435461,0.2862282389283695,1.0,0.17382186373867958,-0.14455216520722677,-0.17214942334501648,0.2528389974463139,0.9578623404639904,0.168072111010518,-0.08440408659585946,-0.0591877118998722,0.2744833619570626
