item,factor,asc_dsc
"Compassion for those who are suffering is the most crucial virtue.",Harm_Care,+
"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",Fairness_Reciprocity,+
"I am proud of my country’s history.",In-group_Loyalty,+
"Respect for authority is something all children need to learn.",Authority_Respect,+
"People should not do things that are disgusting, even if no one is harmed.",Purity_Sanctity,+
"It is better to do good than to do bad.",None,+
"One of the worst things a person could do is hurt a defenseless animal.",Harm_Care,+
"Justice is the most important requirement for a society.",Fairness_Reciprocity,+
"People should be loyal to their family members, even when they have done something wrong.",In-group_Loyalty,+
"Men and women each have different roles to play in society.",Authority_Respect,+
"I would call some acts wrong on the grounds that they are unnatural.",Purity_Sanctity,+
"It can never be right to kill a human being.",Harm_Care,+
"I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.",Fairness_Reciprocity,+
"It is more important to be a team player than to express oneself.",In-group_Loyalty,+
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",Authority_Respect,+
"Chastity is an important and valuable virtue.",Purity_Sanctity,+
