persona,Whether or not someone suffered emotionally,Whether or not some people were treated differently than others,Whether or not someone’s action showed love for his or her country,Whether or not someone showed a lack of respect for authority,Whether or not someone violated standards of purity and decency,Whether or not someone was good at math,Whether or not someone cared for someone weak or vulnerable,Whether or not someone acted unfairly,Whether or not someone did something to betray his or her group,Whether or not someone conformed to the traditions of society,Whether or not someone did something disgusting,Whether or not someone was cruel,Whether or not someone was denied his or her rights,Whether or not someone showed a lack of loyalty,Whether or not an action caused chaos or disorder,Whether or not someone acted in a way that God would approve of
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",Very relevant.,Very relevant.,Very relevant.,Very relevant.,Extremely relevant.,Not at all relevant.,Extremely relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Extremely relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",Very relevant.,Very relevant.,Very relevant.,Very relevant.,Slightly relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Slightly relevant.,Not very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Slightly relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",Not very relevant.,Very relevant.,Very relevant.,Very relevant.,Not at all relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Not very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Not at all relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",Very relevant.,Very relevant.,Very relevant.,Slightly relevant.,Extremely relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Extremely relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",Very relevant.,Very relevant.,Not very relevant.,Slightly relevant.,Slightly relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Not very relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Slightly relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",Slightly relevant.,Very relevant.,Not very relevant.,Slightly relevant.,Not at all relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Slightly relevant.,Not at all relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",Very relevant.,Very relevant.,Not at all relevant.,Not at all relevant.,Extremely relevant.,Not at all relevant.,Extremely relevant.,Very relevant.,Extremely relevant.,Not at all relevant.,Very relevant.,Very relevant.,Extremely relevant.,Extremely relevant.,Not very relevant.,Extremely relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",Very relevant.,Very relevant.,Not very relevant.,Not at all relevant.,Very relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Slightly relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",Very relevant.,Very relevant.,Not at all relevant.,Not at all relevant.,Not at all relevant.,Not at all relevant.,Very relevant.,Very relevant.,Very relevant.,Not at all relevant.,Not very relevant.,Very relevant.,Very relevant.,Very relevant.,Not very relevant.,Not at all relevant.
"cares strongly about the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",Very relevant.,Very relevant.,Not very relevant.,Very relevant.,Extremely relevant.,Not at all relevant.,Extremely relevant.,Very relevant.,Slightly relevant.,Slightly relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Very relevant.,Extremely relevant.
